실행일,실행,종료,퍼널,실행 담당자,제안 담당자,소재,목적,타겟,문구,예상 모수,랜딩,수단,혜택 상세,Braze1,Braze2,예약 생성 (건),이탈 가설,추가 혜택,채널,서비스 생애 단계,타겟 연령,설정 시간,리드타임,출발시각,타겟 차종,글로벌 대조군(건),순증(건),사업팀 전달,실험군,실험군_발송,실험군_1일이내_예약생성,실험군_예약전환율,실험군_3일이내_예약생성,실험군_3일이내_예약전환율,실험군_7일이내_예약생성,실험군_7일이내_예약전환율,대조군,대조군_발송,대조군_1일이내_예약생성,대조군_예약전환율,3일이내 예약생성.1,예약전환율.4,7일이내 예약생성.1,예약전환율.5
2025-08-21,True,True,R1_결제 퍼널 이탈_예약 화면 진입,지아나,,주행요금 개편,주요 퍼널 진입 회원 대상 캠페인 넛징 및 예약 유도,예약 화면 진입 회원,"A안) 
【주행요금+보장상품】 혜택 적용 완료!
🚘 총 결제 요금만 내고 사용하세요!

B안) 
크레딧 적용 완료! 예약하면 최대 10% 더 적립 받아요",33000,-,,,HXP_250820-0930_전체_지아나_A-예약화면진입시-세일즈tf_카셰어링(전체)_인앱메시지_AB테스트,HXP_250820-0930_전체_지아나_A-예약화면진입시-세일즈tf_카셰어링(전체)_control_AB테스트,,제공 혜택 미흡,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,25602.0,11413.0,44.6,12935.0,50.5,11845.0,46.3,Control,1595.0,668.0,42.0,769.0,48.20%,724.0,45.40%
2025-08-21,True,False,T5__차량 상세 조회,지아나,,주행요금 개편,주요 퍼널 진입 회원 대상 캠페인 넛징 및 예약 유도,지도화면 > 전기차 클릭 회원,"🔌 지금 전기차 타면, 주행요금 [무제한 0원]
혜택 받고 바로 이용해 보세요🚗",6000,-,,,HXP_250820-0930_전체_지아나_A-존마커클릭시(EV)-세일즈tf_카셰어링(전체)_인앱메시지_AB테스트,HXP_250820-0930_전체_지아나_A-존마커클릭시(EV)-세일즈tf_카셰어링(전체)_control_AB테스트,,제공 혜택 미흡,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,,,M5.전기차,,,,Variant,4060.0,1464.0,36.1,1805.0,44.5,1865.0,45.9,Control,355.0,106.0,30.0,126.0,35.50%,129.0,36.30%
2025-08-20,True,True,B0_혜택 탐색 중 이탈_접속,패트,,이탈,예약퍼널 이탈 개선,지도화면에서 뒤로가기 버튼 클릭한 회원,"🛎️ 50% 할인 쿠폰 지급 완료
반값이면 망설일 이유가 없죠 🙌 ",6000,가지러가기,,,Promo_250819_타겟_패트_세일즈tf-지도화면뒤로가기클릭시_카셰어링(전체)_인앱메시지_AB테스트,Promo_250820_타겟_패트_세일즈tf-지도화면뒤로가기클릭시_카셰어링(전체)_인앱메시지_control_AB테스트,,예약 가능 차량 부재,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,,,,,,,Variant,6426.0,1850.0,28.8,2391.0,37.2,2635.0,41.0,Control,174.0,44.0,25.0,58.0,33.30%,61.0,35.10%
2025-08-21,True,True,B0_혜택 탐색 중 이탈_접속,패트,,실적 대응,관광 거점 사용 유도 - 강릉역,"최근 성수기 강릉역 미사용자 사용 유도
- 최근 성수기 8월이후 수도권 1회 사용한 회원 & 최근 1년 강원 지역 미사용자","(광고)[쏘카] 🌊강릉역→바다까지 10분!
KTX 도착 후, 바로 준비된 차량으로 
마지막 여름 휴가 떠나세요.
[수신거부 : 설정]",36000,"강릉역 존마커
존 하이라이팅",,,Promo_250821_타겟_패트_세일즈tf-강릉역사용유도_카셰어링(전체)_푸시_AB테스트,Promo_250821_타겟_패트_세일즈tf-강릉역사용유도_카셰어링(전체)_푸시_AB테스트,,,,푸시,L5. 이탈 회원 : 30일 내 접속,,,,,,,,,Variant,14488.0,421.0,2.9,1095.0,7.6,1976.0,13.6,Control,1030.0,34.0,3.0,89.0,8.60%,153.0,14.90%
2025-08-21,True,True,B0_혜택 탐색 중 이탈_접속,키네 / 패트,,실적 대응,관광 거점 사용 유도 - 부산역,"25년 8월 성수기 구간에 신규 가입한 회원 가운데
아직 쏘카 이용경험이 없는 회원들에게 (부울경 관광지 추천)
- 부산역 KTX
","(광고)[쏘카] 마지막 여름 휴가!
🛳️ 부산역 5분 거리에 준비된 차량으로
마지막 여름 휴가 떠나보세요.
[수신거부: 설정]",26000,"부산역 존마커
존 하이라이팅",,,Promo_250821_타겟_키네패트_세일즈tf-부산역사용유도_카셰어링(전체)_푸시_AB테스트,Promo_250821_타겟_키네패트_세일즈tf-부산역사용유도_카셰어링(전체)_푸시_AB테스트,,,,푸시,L1. 신규회원 : 당일 가입 / 당일 접속,,,,,,,,,Variant,7904.0,41.0,0.5,92.0,1.2,280.0,3.5,Control,554.0,4.0,1.0,9.0,1.60%,18.0,3.20%
2025-08-24,True,False,T1_차량 탐색 중 이탈_가지러가기/부름 클릭,이나 / 마이클,,주행요금 개편,"(탐색형)
가지러 가기 이탈 회원 대상 리마인드","접속 및 가지러가기 클릭 후 이탈
+20분내 session/view/click 없는 회원
1차) 푸시 발송
2차) +1시간 내, 세션/예약 미발생 쿠폰 혜택으로 후","(광고)[쏘카] 고민은 이제 그만✋
50km주행요금+보장상품 무료 혜택 챙기세요
[수신거부 : 설정]
",14000,가지러가기,,,Promo_250821_타겟_이나_세일즈tf-접속n분이탈-가지러가기_카셰어링(전체)_푸시_AB테스트,Promo_250821_타겟_이나_세일즈tf-경쟁존클릭-이탈_카셰어링(전체)_푸시_AB테스트,,고객 기대 가격 초과,,푸시,L2. 당일 활성 회원: 당일 접속,,U1. 4시간 미만,,,,,,,Variant,7915.0,229.0,2.9,522.0,6.6,1154.0,14.6,Control,490.0,99.0,20.0,135.0,27.60%,163.0,33.30%
2025-08-21,True,False,T5__차량 상세 조회,키네 / 이나,,실적 대응,"유휴 차량 개선
- 중형SUV (토레스, QM6) 할인 및 예약 유도","중형+SUV 차종 클릭 후 이탈
+20분내 예약 없음
+가지러가기 이탈 회원 제외 
> 쿠폰 브레이즈 지급 or 사업 자동지급","(광고)[쏘카] 더 큰 차, 같은 가격에😎
차종 업그레이드 쿠폰 받으세요! 
[수신거부 : 설정]",945,15850 쿠폰 하이라이트,15850,,Promo_250821_타겟_이나_세일즈tf-차종중형suv-이탈_카셰어링(전체)_푸시_AB테스트,Promo_250821_타겟_이나_세일즈tf-차종중형suv-이탈_카셰어링(전체)_푸시_AB테스트,,고객 기대 가격 초과,쿠폰,푸시,L2. 당일 활성 회원: 당일 접속,,,,,M4.SUV,,,15850,Variant,562.0,148.0,26.3,200.0,35.6,244.0,43.4,Control,8.0,2.0,25.0,4.0,50.00%,4.0,50.00%
2025-08-22,True,True,B0_혜택 탐색 중 이탈_접속,패트,,주행요금 개편,주말 장거리 이용 니즈 회원 전기차 주행요금 0원 강조,요금 개편 5개월 전 ev 차량 이용경험 회원,"(광고)[쏘카] ⚡전기차 주행요금 개편!
이번 주말 부담없이 이동해보세요.
[수신거부 : 설정]",28695,가지러가기,,,Promo_250822_타겟_패트_세일즈tf-전기차사용유도_카셰어링(전체)_푸시_AB테스트,Promo_250822_타겟_패트_세일즈tf-전기차사용유도_카셰어링(전체)_푸시_AB테스트,,,,푸시,L5. 이탈 회원 : 30일 내 접속,,,,,M5.전기차,,,,Variant,10750.0,368.0,3.4,890.0,8.3,1594.0,14.8,Control,708.0,30.0,4.0,55.0,7.80%,111.0,15.70%
2025-08-22,True,True,B0_혜택 탐색 중 이탈_접속,키네,,실적 대응,지역제휴_김해시 방문 쿠폰 활용 예약 유도,"극성수기(33W) 김해시 미사용자 사용 유도
- 극성수기 서울특별시 1회 사용한 회원 & 최근 1년 김해시 지역 미사용자","(광고)[쏘카] 🚗 김해시 방문 시 55% 할인!
가야의 숨결이 느껴지는 김해로 떠나보세요.
[수신거부 : 설정]",16492,쿠폰북,15607,,Promo_250822_타겟_패트키네_세일즈tf-김해시여행유도_카셰어링(전체)_푸시_AB테스트,Promo_250822_타겟_패트키네_세일즈tf-김해시여행유도_카셰어링(전체)_푸시_AB테스트,,,쿠폰,푸시,L5. 이탈 회원 : 30일 내 접속,,,,,,,,,Variant,3296.0,162.0,4.9,435.0,13.2,737.0,22.4,Control,465.0,30.0,6.0,66.0,14.20%,100.0,21.50%
2025-08-22,True,True,B0_혜택 탐색 중 이탈_접속,키네,,실적 대응,지역제휴_사천시 방문의 해 쿠폰 활용 예약 유도,"극성수기(33W) 사천시 미사용자 사용 유도
- 극성수기 서울특별시 1회 사용한 회원 & 최근 1년 사천시 지역 미사용자","(광고)[쏘카] ✨사천시 방문 시 55% 할인
케이블카·스카이워크·해변까지, 쏘카와 함께 즐겨보세요!
[수신거부 : 설정]",16490,쿠폰북,15608,,Promo_250822_타겟_패트키네_세일즈tf-사천시여행유도_카셰어링(전체)_푸시_AB테스트,Promo_250822_타겟_패트키네_세일즈tf-사천시여행유도_카셰어링(전체)_푸시_AB테스트,,,쿠폰,푸시,L5. 이탈 회원 : 30일 내 접속,,,,,,,,,Variant,3568.0,165.0,4.6,415.0,11.6,772.0,21.6,Control,465.0,30.0,6.0,66.0,14.20%,100.0,21.50%
2025-08-22,True,True,B0_혜택 탐색 중 이탈_접속,패트,,실적 대응,개강 전 마지막 - 대학생 주말 사용 유도,"20대 PF/주행 무료 런칭 안내를 통해 개강전 주말 사용 유도
- 요금 개편전 최근 2주 이내
- 21-26 연령","(광고)[쏘카] 🎒방학은 여행 엔딩으로!
요금이 새롭게 개편되었어요.
지금 바로 주말 예약하러 GO!
[수신거부 : 설정]",31461,가지러가기,,,Promo_250822_타겟_패트_세일즈tf-개강전대학생사용유도_카셰어링(전체)_푸시_AB테스트,Promo_250822_타겟_패트_세일즈tf-개강전대학생사용유도_카셰어링(전체)_푸시_AB테스트,,제공 혜택 미흡,,푸시,L5. 이탈 회원 : 30일 내 접속,A1.20대 (20-24),,,,,,,,Variant,13588.0,583.0,4.3,1573.0,11.6,2857.0,21.0,Control,933.0,42.0,5.0,122.0,13.10%,223.0,23.90%
2025-08-25,True,True,T1_차량 탐색 중 이탈_가지러가기/부름 클릭,패트,,실적 대응,"피크타임 10-15시에 지도화면에서 뒤로가기 클릭한 회원에게
주변 이용 가능한 쏘카존이 없을 경우 부름 사용 유도","매일 10-15시 사이에 접속한 회원
- 지도 화면 → 뒤로가기 클릭 시","🚙 주변에 이용할 차량이 없나요?
차량을 배달 받을 수 있어요! 🏁 ",0.5만,부르러가기,,,Promo_250825_타겟_패트_세일즈tf-지도화면뒤로가기클릭시-피크타임부름_카셰어링(전체)_인앱메시지_AB테스트,Promo_250825_타겟_패트_세일즈tf-지도화면뒤로가기클릭시-피크타임부름_카셰어링(전체)_인앱메시지_control_AB테스트,,예약 가능 차량 부재,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,LT1.리드타임 1시간 이내,S2. 9시-12시 (오전),,,,,Variant,574.0,160.0,27.9,220.0,38.3,243.0,42.3,Control,38.0,10.0,26.0,13.0,34.20%,14.0,36.80%
2025-08-25,True,True,T1_차량 탐색 중 이탈_가지러가기/부름 클릭,패트,,실적 대응,"재고 소진 시간 18-22시에 지도화면 뒤로가기 클릭한 회원에게
마감특가존 이용 안내","매일 18-22시 사이에 접속한 회원
- 지도 화면 → 뒤로가기 클릭 시","🔥 지금부터 내일 오전 10시까지
💰 심야 19,900원",0.5만,쿠폰함 (심야쿠폰북),,,Promo_250825_타겟_패트_세일즈tf-지도화면뒤로가기클릭시-세일즈타임마감특가_카셰어링(전체)_인앱메시지_AB테스트,Promo_250825_타겟_패트_세일즈tf-지도화면뒤로가기클릭시-세일즈타임마감특가_카셰어링(전체)_인앱메시지_control_AB테스트,,예약 가능 차량 부재,,인앱메시지,L2. 당일 활성 회원: 당일 접속,,,LT2.리드타임 2시간 이내,S4. 18시-24시 (저녁),,,,,Variant,1915.0,553.0,28.9,746.0,39.0,854.0,44.6,Control,137.0,45.0,33.0,58.0,42.30%,61.0,44.50%
2025-08-25,True,True,B0_혜택 탐색 중 이탈_접속,이나,,주행요금 개편,주행요금 개편전 접속회원 주행요금 인지 및 예약 유도,"1회차 이상 반납 회원중
+08/20 이후 접속 없음
+최근 30일 내 반납회원
>> 남성/여성 메시지 분기 (50km )","남성
(광고)[쏘카] 50km 무료 주행
개편된 주행요금으로 달라진 요금을 직접 경험하세요😉
[수신거부 : 설정]
여성
(광고)[쏘카] 50km 무료 주행
평균 약 1시간 이동, 바뀐 요금으로 더 가볍게 이동하세요 🚗✨
[수신거부 : 설정]\",약3만,주행요금 페이지,,,Promo_250825_액티브_이나_세일즈tf-마지막앱접속7일전-주말주중_카셰어링(전체)_푸시_AB테스트,Promo_250825_액티브_이나_세일즈tf-마지막앱접속7일전-주말주중_카셰어링(전체)_푸시_AB테스트,,제공 혜택 미흡,,푸시,L4. 잠재 회원 : 7일 내 접속,,,,,,,,,Variant,9048.0,112.0,1.2,316.0,3.5,598.0,6.6,Control,1742.0,20.0,1.0,61.0,3.50%,103.0,5.90%
2025-08-25,True,True,B0_혜택 탐색 중 이탈_접속,패트,,로열티 프로그램,"크레딧 30,000원 이상 보유한 고객에게 사용 유도
- 크레딧 소진 유도
- 크레딧 적립 프로그램 소개","크레딧 미사용자 사용 유도 (적립 프로그램 안내)
- 7/1~8/24 사용하였고 크레딧 3만원 이상 있는 회원
- 연령 : 3040 주중
- 여름 휴가로 사용한 타겟에게 일상 사용 TPO 안내해준다. (업무/일상)","(광고)[쏘카] 💰크레딧 이용해 보세요.
🎁 쏘카 크레딧 3만원+ 대기 중!
이번 주에 바로 써보세요 ✨
[수신거부 : 설정]",약 2만,내 크레딧,,,Promo_250825_타겟_패트_세일즈tf-크레딧소진유도_카셰어링(전체)_푸시_AB테스트,Promo_250825_타겟_패트_세일즈tf-크레딧소진유도_카셰어링(전체)_푸시_AB테스트,,제공 혜택 미흡,,푸시,L4. 잠재 회원 : 7일 내 접속,,,,,,,,,Variant,7876.0,309.0,3.9,743.0,9.4,1177.0,14.9,Control,571.0,22.0,4.0,54.0,9.50%,87.0,15.20%
2025-08-25,True,True,B0_혜택 탐색 중 이탈_접속,이나,,주행요금 개편,주행요금 개편전 접속회원 주행요금 인지 및 예약 유도,"0회차(인액티브) 앱접속 회원 중
+예약 없음
+08/20 이후 접속 없음
>> 남성/여성 메시지 분기 (50km )","남성
(광고)[쏘카] 직접 경험할 차례
50km 무료 주행으로 쏘카 첫 예약을 가볍게👍
[수신거부 : 설정]
여성
(광고)[쏘카] 합리적인 첫 예약
주행요금 50km 무료(=약 1시간) 혜택으로 가볍게👍
[수신거부 : 설정]",약2만,주행요금 페이지,,,Promo_250825_인액티브_이나_세일즈tf-마지막앱접속7일전_카셰어링(전체)_푸시_AB테스트,Promo_250825_인액티브_이나_세일즈tf-마지막앱접속7일전_카셰어링(전체)_푸시_AB테스트,,제공 혜택 미흡,,푸시,L4. 잠재 회원 : 7일 내 접속,,,,,,,,,TG_푸시_남성,7285.0,4.0,0.1,9.0,0.1,21.0,0.3,Control,0.0,0.0,,0.0,,0.0,
2025-08-25,True,True,B0_혜택 탐색 중 이탈_접속,이나,,주행요금 개편,주행요금 개편전 접속회원 주행요금 인지 및 예약 유도,"1년 전 반납 회원 (8/9월)
+앱 미접속 180일~365일
>> 남성/여성 메시지 분기 (50km )","(광고)[쏘카] 가격인하 알림📉
주행요금 50km 무료(=약 1시간) 올해는 새로운 요금으로 다시 이동해보세요!
[수신거부 : 설정]",약1.9만,주행요금 페이지,,,Promo_250825_이탈_이나_세일즈tf-성수기반납-1년미접속_카셰어링(전체)_푸시_AB테스트,Promo_250825_이탈_이나_세일즈tf-성수기반납-1년미접속_카셰어링(전체)_푸시_AB테스트,,제공 혜택 미흡,,푸시,L5. 이탈 회원 : 30일 내 접속,,,,,,,,,Variant,13179.0,8.0,0.1,32.0,0.2,60.0,0.5,Control,997.0,0.0,0.0,3.0,0.30%,5.0,0.50%
2025-08-25,True,True,B0_혜택 탐색 중 이탈_접속,이나,,주행요금 개편,주행요금 개편전 접속회원 주행요금 인지 및 예약 유도,"1회차 이상 반납 회원중
+08/20 이후 접속 없음
+최근 30일 내 반납회원
>> 남성/여성 메시지 분기 (50km )","남성
(광고)[쏘카] 50km 무료 주행
개편된 주행요금으로 달라진 요금을 직접 경험하세요😉
[수신거부 : 설정]
여성
(광고)[쏘카] 50km 무료 주행
평균 약 1시간 이동, 바뀐 요금으로 더 가볍게 이동하세요 🚗✨
[수신거부 : 설정]",약3만,주행요금 페이지,,,Promo_250825_액티브_이나_세일즈tf-마지막앱접속7일전-주말주중_카셰어링(전체)_푸시_AB테스트,Promo_250825_액티브_이나_세일즈tf-마지막앱접속7일전-주말주중_카셰어링(전체)_푸시_AB테스트,,제공 혜택 미흡,,푸시,L4. 잠재 회원 : 7일 내 접속,,,,,,,,,TG_푸시_남성,6706.0,93.0,1.4,243.0,3.6,464.0,6.9,Control,1742.0,20.0,1.0,61.0,3.50%,103.0,5.90%
2025-08-25,True,True,,이나,,,,,,,,,,Promo_250825_액티브_이나_세일즈tf-마지막앱접속7일전-주말주중_카셰어링(전체)_푸시_AB테스트,,,,,푸시,,,,,,,,,,TG_푸시_여성,2342.0,19.0,0.8,73.0,3.1,134.0,5.7,,,,,,,,
2025-08-25,True,True,,이나,,,,,,,,,,Promo_250825_액티브_이나_세일즈tf-마지막앱접속7일전-주말주중_카셰어링(전체)_푸시_AB테스트,,,,,푸시,,,,,,,,,,CG_푸시_남성,1248.0,13.0,1.0,45.0,3.6,83.0,6.7,,,,,,,,
2025-08-25,True,True,B0_혜택 탐색 중 이탈_접속,패트,,로열티 프로그램,"크레딧 30,000원 이상 보유한 고객에게 사용 유도
- 크레딧 소진 유도
- 크레딧 적립 프로그램 소개","크레딧 미사용자 사용 유도 (적립 프로그램 안내)
- 7/1~8/24 사용하였고 크레딧 3만원 이상 있는 회원
- 연령 : 3040 주중
- 여름 휴가로 사용한 타겟에게 일상/주중 사용 유도","(광고)[쏘카] 💰크레딧 이용해 보세요.
🎁 쏘카 크레딧 3만원+ 대기 중!
이번 주에 바로 써보세요 ✨
[수신거부 : 설정]",약 2만,내 크레딧,,,Promo_250825_타겟_패트_세일즈tf-크레딧소진유도_카셰어링(전체)_푸시_AB테스트,Promo_250825_타겟_패트_세일즈tf-크레딧소진유도_카셰어링(전체)_푸시_AB테스트,,제공 혜택 미흡,,푸시,L5. 이탈 회원 : 30일 내 접속,,,,,,,,,Variant,7876.0,309.0,3.9,743.0,9.4,1177.0,14.9,Control,571.0,22.0,4.0,54.0,9.50%,87.0,15.20%
